index, elapse_time, susp_fl, susp_fr, susp_rl, susp_rr, acc_x, acc_y, acc_z, rot_x, rot_y, rot_z
119,18531,38.21893,46.59847,52.16781,27.43792,-0.43335,2.29724,9.76355,0.00839,0.07874,0.03277
120,18682,38.21893,46.59847,52.16781,27.43792,-0.42976,2.29963,9.75398,0.00706,0.07781,0.03397
121,18837,38.21893,46.59847,52.16781,27.43792,-0.43814,2.29245,9.71088,0.00906,0.07781,0.03264
122,18989,38.16783,46.59847,52.16781,27.43792,-0.45131,2.27449,9.77193,0.00839,0.07914,0.03238
123,19141,38.21893,46.59847,52.16781,27.43792,-0.4537,2.26731,9.75158,0.00626,0.07914,0.03264
124,19293,38.21893,46.59847,52.16781,27.43792,-0.46687,2.27928,9.72405,0.00839,0.08021,0.03304
125,19445,38.21893,46.59847,52.16781,27.43792,-0.42377,2.29724,9.76954,0.00839,0.07901,0.03211
126,19600,38.21893,46.59847,52.16781,27.48901,-0.43096,2.29963,9.73722,0.00746,0.07981,0.03331
127,19752,38.21893,46.59847,52.16781,27.43792,-0.46926,2.23858,9.73602,0.00839,0.08087,0.03317
128,19904,38.21893,46.59847,52.16781,27.43792,-0.46687,2.25534,9.7444,0.00826,0.07927,0.03357
129,20055,38.21893,46.59847,52.16781,27.43792,-0.46567,2.29125,9.74919,0.00759,0.07887,0.03024
130,20210,38.21893,46.59847,52.16781,27.43792,-0.45849,2.27569,9.77074,0.00893,0.07927,0.03344
131,20362,38.21893,46.59847,52.16781,27.43792,-0.42258,2.2697,9.75039,0.00946,0.07941,0.03238
132,20514,38.21893,46.59847,52.16781,27.43792,-0.43574,2.28527,9.78989,0.00839,0.07927,0.03384
133,20666,38.21893,46.59847,52.16781,27.43792,-0.45131,2.25414,9.77313,0.00893,0.07901,0.03397
134,20818,38.21893,46.59847,52.21891,27.43792,-0.48483,2.26372,9.73961,0.00759,0.07847,0.03211
135,20973,38.21893,46.59847,52.21891,27.43792,-0.44772,2.2697,9.74201,0.00759,0.07821,0.03211
136,21125,38.21893,46.59847,52.16781,27.43792,-0.44173,2.25414,9.76475,0.00826,0.08021,0.03397
137,21277,38.21893,46.59847,52.16781,27.43792,-0.4549,2.2697,9.74919,0.00799,0.07901,0.03264
138,21428,38.21893,46.59847,52.16781,27.43792,-0.39983,2.26132,9.76355,0.00866,0.08034,0.03357
139,21580,38.21893,46.59847,52.16781,27.43792,-0.44412,2.27928,9.71926,0.00839,0.07967,0.03357
140,21735,38.21893,46.59847,52.16781,27.48901,-0.45131,2.28646,9.74679,0.00799,0.07887,0.03264
141,21887,38.21893,46.59847,52.16781,27.38682,-0.41659,2.2709,9.75877,0.00906,0.07874,0.03411
142,22039,38.21893,46.59847,52.16781,27.43792,-0.46328,2.23618,9.73363,0.00879,0.07941,0.03291
143,22191,38.21893,46.59847,52.16781,27.48901,-0.46328,2.26731,9.75278,0.00853,0.07847,0.03424
144,22343,38.21893,46.59847,52.16781,27.43792,-0.44293,2.26611,9.76475,0.00919,0.07901,0.03224
145,22498,38.21893,46.59847,52.16781,27.43792,-0.48004,2.28167,9.7049,0.00919,0.08034,0.03251
146,22650,38.21893,46.59847,52.16781,27.43792,-0.44891,2.24456,9.73004,0.00919,0.07794,0.03424
147,22801,38.21893,46.59847,52.16781,27.43792,-0.47285,2.29843,9.77074,0.00866,0.07954,0.03411
148,22953,38.21893,46.59847,52.16781,27.43792,-0.43455,2.2697,9.77553,0.00799,0.07927,0.03264
149,23108,38.21893,46.59847,52.16781,27.48901,-0.43814,2.26611,9.68335,0.00919,0.07941,0.03371
150,23259,38.21893,46.59847,52.16781,27.48901,-0.45011,2.29843,9.75637,0.00866,0.07861,0.03158
151,23410,38.21893,46.59847,52.16781,27.43792,-0.41899,2.26013,9.69412,0.01026,0.07954,0.03211
152,23561,38.21893,46.59847,52.16781,27.43792,-0.42617,2.30322,9.73004,0.00879,0.08007,0.03198
153,23712,38.21893,46.59847,52.16781,27.48901,-0.4142,2.28167,9.70969,0.00786,0.08047,0.03331
154,23877,38.21893,46.59847,52.16781,27.43792,-0.44532,2.28886,9.74081,0.00773,0.08127,0.03131
155,24029,38.21893,46.64957,52.16781,27.43792,-0.43096,2.25414,9.73602,0.00853,0.07981,0.03411
156,24181,38.21893,46.59847,52.16781,27.43792,-0.4118,2.27928,9.77553,0.00866,0.08087,0.03357
157,24333,38.21893,46.59847,52.16781,27.43792,-0.42138,2.314,9.74201,0.00933,0.07861,0.03317
158,24485,38.21893,46.59847,52.16781,27.48901,-0.46567,2.29245,9.7875,0.00759,0.08034,0.03238
159,24640,38.21893,46.59847,52.16781,27.43792,-0.44652,2.26491,9.73602,0.00866,0.07914,0.03304
160,24792,38.27002,46.59847,52.16781,27.43792,-0.42258,2.2709,9.77193,0.00813,0.07994,0.03291
161,24944,38.21893,46.59847,52.16781,27.48901,-0.40103,2.29484,9.74081,0.00946,0.08034,0.03264
162,25096,38.21893,46.59847,52.16781,27.43792,-0.42377,2.26611,9.79707,0.00679,0.07727,0.03411
163,25248,38.21893,46.59847,52.11671,27.43792,-0.44053,2.23379,9.77553,0.00773,0.07981,0.03317
164,25403,38.21893,46.59847,52.16781,27.43792,-0.46448,2.2697,9.78031,0.00746,0.07901,0.03344
165,25555,38.21893,46.59847,52.16781,27.43792,-0.413,2.26372,9.77792,0.00986,0.0806,0.03291
166,25707,38.21893,46.59847,52.16781,27.43792,-0.42976,2.28886,9.73243,0.00959,0.07901,0.03291
167,25859,38.21893,46.59847,52.16781,27.48901,-0.41659,2.21583,9.71447,0.00813,0.07954,0.03491
168,26011,38.21893,46.59847,52.16781,27.48901,-0.4537,2.26491,9.77792,0.00919,0.07767,0.03251
169,26166,38.21893,46.59847,52.16781,27.43792,-0.43096,2.2697,9.77672,0.00919,0.07847,0.03317
170,26318,38.21893,46.59847,52.16781,27.43792,-0.44173,2.26611,9.78869,0.00759,0.07701,0.03224
171,26470,38.21893,46.59847,52.16781,27.43792,-0.44293,2.28167,9.75877,0.00813,0.07927,0.03198
172,26622,38.21893,46.59847,52.16781,27.43792,-0.44652,2.2721,9.71088,0.00746,0.07981,0.03277
173,26777,38.21893,46.59847,52.16781,27.43792,-0.413,2.29604,9.78869,0.00946,0.07874,0.03357
174,26929,38.21893,46.54738,52.16781,27.43792,-0.40821,2.26851,9.70131,0.00906,0.07634,0.03277
175,27081,38.21893,46.59847,52.16781,27.43792,-0.42856,2.26372,9.77074,0.00999,0.08007,0.03264
176,27233,38.21893,46.59847,52.16781,27.43792,-0.42737,2.27928,9.73602,0.00813,0.07954,0.03277
177,27385,38.21893,46.59847,52.21891,27.43792,-0.46807,2.27329,9.77313,0.00959,0.07781,0.03131
178,27540,38.21893,46.59847,52.16781,27.43792,-0.42617,2.29005,9.7432,0.00866,0.07981,0.03357
179,27692,38.21893,46.59847,52.16781,27.43792,-0.41899,2.26851,9.78031,0.00906,0.07967,0.03344
180,27844,38.21893,46.59847,52.16781,27.48901,-0.4118,2.2721,9.72764,0.00786,0.07914,0.03411
181,27996,38.21893,46.59847,52.16781,27.43792,-0.43455,2.28646,9.73363,0.00759,0.07954,0.03184
182,28148,38.21893,46.59847,52.16781,27.43792,-0.38307,2.30921,9.76834,0.00839,0.07927,0.03304
183,28303,38.21893,46.59847,52.16781,27.43792,-0.48123,2.3104,9.76116,0.00999,0.07914,0.03251
184,28455,38.21893,46.59847,52.16781,27.43792,-0.46687,2.30801,9.76595,0.01013,0.07794,0.03224
185,28607,38.21893,46.59847,52.16781,27.48901,-0.45849,2.26731,9.69293,0.00893,0.07941,0.03411
186,28759,38.21893,46.59847,52.16781,27.43792,-0.50159,2.29724,9.78869,0.00866,0.07994,0.03304
